sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
31,20350235,1,ok,4.206334e-09,3.459399e-09,3.419518e-09,3.135361e-09,1.4505384269,1.5525227298,6.004501487,-0.003379465637,3.3,0.0,6.0000898863,-0.002615362754,6.0994049579,-0.04778914772,6.0696186096,-0.0449124877,6.0528210736,-0.02965194907,6.0492206342,-0.0292328002,6.0490714837,-0.02912856349
32,20350236,1,ok,4.204546e-09,3.455932e-09,3.423383e-09,3.131593e-09,1.4506801522,1.5567900427,6.0045090822,-0.003344366796,3.3,0.0,6.0000862755,-0.002930941669,6.0987124125,-0.04814396381,6.0693401721,-0.0445588836,6.0533922953,-0.02973806205,6.049594519,-0.02939866733,6.0499799877,-0.02923927461
33,20350237,1,ok,4.205205e-09,3.458795e-09,3.424663e-09,3.133684e-09,1.4536620774,1.5485018847,6.004475585,-0.003350877508,3.3,0.0,6.0000874595,-0.00272579391,6.100021751,-0.04801712093,6.0696626711,-0.04463437345,6.0529882675,-0.02957302958,6.0491211714,-0.02932130334,6.0495171025,-0.02901151984
34,20350238,1,ok,4.199794e-09,3.453582e-09,3.419665e-09,3.130257e-09,1.4528720211,1.5581682863,6.0045039021,-0.003367046228,3.3,0.0,6.0000916256,-0.003018365863,6.097089849,-0.04796186017,6.0698280249,-0.04487920593,6.0530055546,-0.02979866238,6.0491760189,-0.02921972311,6.0492836236,-0.0291370202
35,20350239,1,ok,4.200894e-09,3.455085e-09,3.422384e-09,3.131687e-09,1.4544791761,1.555838075,6.0044940365,-0.00335134501,3.3,0.0,6.0000903638,-0.002713314419,6.099650397,-0.04746620282,6.0695422541,-0.04479353239,6.0529267427,-0.02966612952,6.0497245891,-0.02939662486,6.0493234183,-0.02902300422
36,20350240,1,ok,4.194404e-09,3.458913e-09,3.416938e-09,3.135523e-09,1.4535939882,1.5632032396,6.0045271438,-0.003356171437,3.3,0.0,6.0000866513,-0.002537990803,6.0997803545,-0.04829775994,6.0700210222,-0.0448391771,6.0529263862,-0.02980376809,6.0496384473,-0.029222273,6.0493391485,-0.0290745731
37,20350241,1,ok,4.189495e-09,3.460021e-09,3.412847e-09,3.135286e-09,1.4592488729,1.557805002,6.0045318132,-0.003328497527,3.3,0.0,6.000088978,-0.002466842205,6.0979334236,-0.04808128436,6.0694621615,-0.04491787004,6.0534399418,-0.02971310508,6.049583434,-0.02935210278,6.0496899054,-0.02899351836
38,20350242,1,ok,4.204474e-09,3.452786e-09,3.420104e-09,3.130514e-09,1.4506285853,1.5647204413,6.00450954,-0.003348986177,3.3,0.0,6.0000895399,-0.003102719643,6.0981671246,-0.04757482406,6.0692695237,-0.04483748242,6.0527572201,-0.0297257237,6.0501826178,-0.02925242236,6.0487912551,-0.02891071096
39,20350243,1,ok,4.185551e-09,3.461828e-09,3.411121e-09,3.134949e-09,1.4570116551,1.5543323746,6.0044620861,-0.003355917093,3.3,0.0,6.0000926165,-0.002681318185,6.1015461356,-0.04837253822,6.0692284765,-0.04463626069,6.052986009,-0.02969165227,6.0491212209,-0.02929527708,6.0495980318,-0.029369145
40,20350244,1,ok,4.206359e-09,3.458371e-09,3.425521e-09,3.133911e-09,1.4501220992,1.5516055153,6.0044684421,-0.003369227393,3.3,0.0,6.0000890543,-0.002821201999,6.0973121127,-0.0479243995,6.0689093431,-0.04473657279,6.0533342083,-0.02981106846,6.0485901275,-0.02918397404,6.049453208,-0.02924728414
41,20350245,1,ok,4.19204e-09,3.461358e-09,3.416807e-09,3.136465e-09,1.4539939856,1.5624841695,6.0045381554,-0.003356990611,3.3,0.0,6.0000880112,-0.002660815772,6.0980406085,-0.04828273812,6.0691529988,-0.04474314478,6.0524716065,-0.0298220091,6.0496064012,-0.02926428783,6.0492568753,-0.02916641786
42,20350246,1,ok,4.180295e-09,3.448048e-09,3.412634e-09,3.127226e-09,1.460643067,1.557214561,6.0044322881,-0.003329308383,3.3,0.0,6.0000935809,-0.00269379696,6.100142172,-0.04799330428,6.0694971974,-0.04482310846,6.0530108593,-0.02986715234,6.0492150858,-0.02951635069,6.0497122619,-0.02899842579
43,20350247,1,ok,4.184884e-09,3.456328e-09,3.412545e-09,3.134756e-09,1.4574089567,1.5602551476,6.0044586128,-0.003336983101,3.3,0.0,6.0000902649,-0.002762651702,6.1014061154,-0.04755812551,6.0697643767,-0.04471163887,6.0527685691,-0.0299001531,6.0486713321,-0.02911954113,6.0488662621,-0.02925814638
44,20350248,1,ok,4.193675e-09,3.457734e-09,3.416976e-09,3.134649e-09,1.4539835959,1.5510463997,6.0044659792,-0.003348128671,3.3,0.0,6.000091394,-0.002646591256,6.0999045822,-0.04763919599,6.0694971911,-0.04503590137,6.0528175138,-0.0295956836,6.0496243279,-0.029398934,6.0490879269,-0.02921323113
45,20350249,1,ok,4.204553e-09,3.458014e-09,3.422671e-09,3.132789e-09,1.4503719749,1.5478251041,6.0044823775,-0.003387352358,3.3,0.0,6.0000903881,-0.002853597798,6.0975950938,-0.0484013501,6.0690848609,-0.04478203866,6.0528496404,-0.0297404877,6.0484727405,-0.02922531333,6.0494657522,-0.02925988862
46,20350250,1,ok,4.198284e-09,3.464356e-09,3.419418e-09,3.13742e-09,1.4530113449,1.5524695948,6.0045494332,-0.003362726168,3.3,0.0,6.0000902238,-0.002448530199,6.0986682106,-0.04774873023,6.0700939433,-0.04478181805,6.052959073,-0.02994639834,6.0491781919,-0.02917873491,6.0497198416,-0.02904540079
47,20350251,1,ok,4.216987e-09,3.467626e-09,3.432121e-09,3.136158e-09,1.44988906,1.5512191869,6.0045694909,-0.003373952177,3.3,0.0,6.0000863927,-0.002448268575,6.0975161212,-0.0478963686,6.0692696005,-0.04464315379,6.0527244227,-0.02984130094,6.0487789262,-0.02932020529,6.0492073345,-0.0291104151
48,20350252,1,ok,4.202317e-09,3.458816e-09,3.423502e-09,3.133634e-09,1.4513494429,1.5640494518,6.0045196202,-0.003344380803,3.3,0.0,6.0000854005,-0.002798057312,6.0990818256,-0.04793685323,6.0698692889,-0.0449373985,6.0534416648,-0.02988551811,6.0484934183,-0.02928561941,6.0490683815,-0.02931688342
49,20350253,1,ok,4.199517e-09,3.459413e-09,3.421078e-09,3.134026e-09,1.4532791613,1.5572151812,6.0045327624,-0.003323730176,3.3,0.0,6.0000863816,-0.002743437833,6.0993222442,-0.04789649504,6.0694291518,-0.04469833264,6.0530374368,-0.02995545184,6.0496646253,-0.02941244341,6.0493162144,-0.02888985582
50,20350254,1,ok,4.193306e-09,3.451813e-09,3.421739e-09,3.130316e-09,1.4565244438,1.5579493726,6.0044791737,-0.003339053918,3.3,0.0,6.0000870025,-0.002751266988,6.0999763663,-0.04756993819,6.0700696743,-0.04476943775,6.0530864361,-0.0299002183,6.0499539323,-0.02943249281,6.0499408724,-0.02909607955
