sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
20,20390245,1,ok,4.06814e-09,5.045667e-09,3.035308e-09,3.835775e-09,1.5790264938,1.0934497039,0.2116023,0.01171125,1.855629579e-08,6.0051344992,-0.002799579829,6.0,0.0,6.0277422989,-0.01648538567,6.0236267321,-0.01076302187,6.0442077666,-0.02264091373,6.0516642895,-0.02787984688,6.0521161027,-0.02809242996
21,20390246,1,ok,4.061426e-09,5.057066e-09,3.03604e-09,3.842571e-09,1.5841999609,1.0883107244,0.212741,0.006120261,1.8555828289e-08,6.0050789546,-0.002820636971,6.0,0.0,6.0278323209,-0.01652754399,6.0239118032,-0.01081998481,6.0442593175,-0.02261586512,6.0517022845,-0.02822938314,6.0529490646,-0.02826970601
22,20390247,1,ok,4.05846e-09,5.051031e-09,3.032387e-09,3.838004e-09,1.588401428,1.0923217354,0.2137778,0.01394781,1.8556437481e-08,6.0051267692,-0.002785989158,6.0,0.0,6.0277964963,-0.01646901266,6.0240602328,-0.01088563331,6.044372358,-0.02259308834,6.0511544714,-0.0279827439,6.0527341859,-0.02822730662
23,20390248,1,ok,4.048931e-09,5.060486e-09,3.029579e-09,3.844358e-09,1.5901762245,1.0892349669,0.2130581,0.008859924,1.8556337899e-08,6.0051666257,-0.002790741801,6.0,0.0,6.0277931071,-0.01653823161,6.0241842763,-0.01089055714,6.044518485,-0.022694009,6.0519013561,-0.0281462917,6.0527098991,-0.02795844065
24,20390249,1,ok,4.058533e-09,5.05042e-09,3.0345e-09,3.838055e-09,1.5841879935,1.0858745861,0.2129529,0.01095325,1.8555884574e-08,6.0051437843,-0.002817192814,6.0,0.0,6.0278470484,-0.01646911697,6.0239958574,-0.01086574877,6.0442765256,-0.02262166,6.0513846836,-0.02833086114,6.0524021619,-0.02852790466
25,20390250,1,ok,4.026189e-09,5.066999e-09,3.018527e-09,3.848773e-09,1.5994670927,1.0890845133,0.2143118,0.01478181,1.8556090541e-08,6.0051695522,-0.002773387991,6.0,0.0,6.0277617271,-0.01649921451,6.0244730375,-0.01086427427,6.0443341304,-0.02267472209,6.0515907382,-0.02807134211,6.0527447336,-0.02821291607
26,20390251,1,ok,4.053864e-09,5.074534e-09,3.030064e-09,3.852383e-09,1.584241504,1.0871475425,0.2125618,0.01078688,1.8556144877e-08,6.0052245789,-0.002799059759,6.0,0.0,6.0277142448,-0.01648942505,6.0240931712,-0.01079554358,6.044416351,-0.0225957955,6.0516709717,-0.02813356889,6.0523527166,-0.0281173384
27,20390252,1,ok,4.042437e-09,5.060397e-09,3.02544e-09,3.843051e-09,1.5939069898,1.0914189024,0.2142118,0.01365228,1.8556382191e-08,6.0051044912,-0.002778071075,6.0,0.0,6.0276843715,-0.01639726315,6.0242554736,-0.01071203627,6.0442748687,-0.02263865364,6.0515349325,-0.02816078845,6.0525099851,-0.0283834736
28,20390253,1,ok,4.034045e-09,5.070005e-09,3.019655e-09,3.85002e-09,1.591688023,1.0872484041,0.2114701,0.01253434,1.8556152243e-08,6.0052075699,-0.00276188343,6.0,0.0,6.0276721434,-0.01645926311,6.023990077,-0.01081738841,6.0443167229,-0.02266158078,6.0518772765,-0.02800332526,6.0524170449,-0.02817035058
29,20390254,1,ok,4.041695e-09,5.066191e-09,3.025587e-09,3.846492e-09,1.5936584154,1.0877515898,0.2134978,0.01526554,1.8556131051e-08,6.0051748297,-0.002783405659,6.0,0.0,6.0278792677,-0.01647193292,6.0237391377,-0.01076341639,6.0444013824,-0.02253704791,6.051222573,-0.02794832087,6.0529060485,-0.02834549575
