sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
83,20310387,1,ok,3.654931,2.788906,2.765149,1.27659,5.106358,0.703188,0.3065378,0.99999927273,1.7570194545e-07,3.654931
84,20310388,1,ok,3.654727,2.785488,2.768862,1.277212,5.108848,0.705705,0.3050611,0.99999927273,1.7633072727e-07,3.654727
85,20310389,1,ok,3.654939,2.786362,2.766703,1.275793,5.10317,0.7065026,0.3041673,0.99999927273,1.7542378182e-07,3.654939
86,20310390,1,ok,3.655299,2.780477,2.763514,1.276676,5.106704,0.7053923,0.3044641,0.99999927273,1.7568569091e-07,3.655299
87,20310391,1,ok,3.654777,2.784248,2.761931,1.276411,5.105646,0.7070187,0.304803,0.99999927273,1.7666750909e-07,3.654777
88,20310392,1,ok,3.655175,2.783124,2.766945,1.277389,5.109555,0.7050371,0.3054967,0.99999927273,1.762728e-07,3.655175
89,20310393,1,ok,3.654973,2.777579,2.769216,1.276925,5.107701,0.7010407,0.3071086,0.99999927273,1.7597561818e-07,3.654973
90,20310394,1,ok,3.655141,2.788714,2.762947,1.278122,5.112487,0.7065318,0.305938,0.99999927273,1.7652070909e-07,3.655141
91,20310395,1,ok,3.655188,2.785458,2.767802,1.278009,5.112038,0.7084479,0.3052528,0.99999927273,1.7611921818e-07,3.655188
92,20310396,1,ok,3.654821,2.785687,2.765099,1.276484,5.105934,0.7042626,0.3060089,0.99999927273,1.7556643636e-07,3.654821
93,20310397,1,ok,3.654945,2.784251,2.762448,1.27727,5.109081,0.7056671,0.3067174,0.99999927273,1.7599394545e-07,3.654945
94,20310398,1,ok,3.655076,2.77902,2.762877,1.277569,5.110278,0.7043861,0.3076554,0.99999927273,1.7628352727e-07,3.655076
95,20310399,1,ok,3.654856,2.780436,2.765899,1.275914,5.103657,0.7030851,0.3041001,0.99999927273,1.7568063636e-07,3.654856
96,20310400,1,ok,3.655163,2.784558,2.766448,1.276003,5.104012,0.7081554,0.304939,0.99999927273,1.7592018182e-07,3.655163
97,20310401,1,ok,3.655033,2.779758,2.761875,1.276821,5.107284,0.7079868,0.305113,0.99999927273,1.7594552727e-07,3.655033
98,20310402,1,ok,3.65508,2.783619,2.770663,1.277235,5.108939,0.7094664,0.3041195,0.99999927273,1.7572836364e-07,3.65508
99,20310403,1,ok,3.654791,2.78124,2.769965,1.277191,5.108763,0.7080828,0.3048876,0.99999927273,1.7579861818e-07,3.654791
100,20310404,1,ok,3.654557,2.77942,2.762409,1.277311,5.109244,0.7048273,0.3065573,0.99999927273,1.7585778182e-07,3.654557
101,20310405,1,ok,3.65485,2.785765,2.770153,1.277594,5.110376,0.7045731,0.3064812,0.99999927273,1.7649730909e-07,3.65485
102,20310406,1,ok,3.654779,2.78192,2.759473,1.276239,5.104956,0.701702,0.3053587,0.99999927273,1.7558596364e-07,3.654779
103,20310407,1,ok,3.655046,2.780678,2.766255,1.276372,5.10549,0.7055794,0.3055034,0.99999927273,1.7544361818e-07,3.655046
104,20310408,1,ok,3.655017,2.782432,2.763847,1.276748,5.106993,0.7025896,0.3060124,0.99999927273,1.7587983636e-07,3.655017
105,20310409,1,ok,3.654979,2.786459,2.769764,1.277105,5.108419,0.7059794,0.3051886,0.99999927273,1.7599614545e-07,3.654979
106,20310410,1,ok,3.655191,2.787732,2.765681,1.276789,5.107154,0.7068459,0.3048164,0.99999927273,1.7579685455e-07,3.655191
107,20310411,1,ok,3.655136,2.776045,2.764141,1.277249,5.108995,0.7038473,0.3058404,0.99999927273,1.7634083636e-07,3.655136
108,20310412,1,ok,3.654783,2.780813,2.764557,1.277051,5.108204,0.7031157,0.3063088,0.99999927273,1.7565518182e-07,3.654783
109,20310413,1,ok,3.654917,2.788037,2.766965,1.277658,5.110634,0.7020833,0.3065357,0.99999927273,1.7609847273e-07,3.654917
110,20310414,1,ok,3.654748,2.773639,2.763306,1.276267,5.105067,0.7038171,0.3052691,0.99999927273,1.7594247273e-07,3.654748
111,20310415,1,ok,3.655003,2.778107,2.766906,1.277043,5.108174,0.7042332,0.3062916,0.99999927273,1.75777e-07,3.655003
112,20310416,1,ok,3.654991,2.787362,2.763366,1.278225,5.112899,0.7053714,0.3062953,0.99999927273,1.765026e-07,3.654991
113,20310417,1,ok,3.655074,2.792442,2.764582,1.276936,5.107744,0.7086838,0.3039522,0.99999927273,1.7583543636e-07,3.655074
114,20310418,1,ok,3.65515,2.779565,2.762964,1.276763,5.107051,0.7035572,0.3067274,0.99999927273,1.765574e-07,3.65515
115,20310419,1,ok,3.654959,2.779943,2.764583,1.276294,5.105175,0.7082319,0.3050127,0.99999927273,1.7556056364e-07,3.654959
116,20310420,1,ok,3.655034,2.785209,2.768682,1.27657,5.10628,0.7081245,0.3064054,0.99999927273,1.7658470909e-07,3.655034
117,20310421,1,ok,3.655319,2.789027,2.760896,1.277199,5.108797,0.7046078,0.3058603,0.99999927273,1.7646009091e-07,3.655319
118,20310422,1,ok,3.654847,2.779632,2.766201,1.276585,5.106338,0.7078423,0.3048082,0.99999927273,1.7563225455e-07,3.654847
119,20310423,1,ok,3.654896,2.785469,2.767422,1.276635,5.106539,0.7047294,0.3057049,0.99999927273,1.7586669091e-07,3.654896
120,20310424,1,ok,3.654766,2.780406,2.77038,1.277516,5.110065,0.7053504,0.3053326,0.99999927273,1.7642836364e-07,3.654766
121,20310425,1,ok,3.655054,2.785522,2.767303,1.276492,5.105968,0.7056179,0.3061571,0.99999927273,1.7575265455e-07,3.655054
122,20310426,1,ok,3.654717,2.781065,2.762957,1.27616,5.104638,0.7021377,0.3053511,0.99999927273,1.7583556364e-07,3.654717
123,20310427,1,ok,3.654854,2.783419,2.763132,1.276682,5.106727,0.7073411,0.3058658,0.99999927273,1.7615278182e-07,3.654854
124,20310428,1,ok,3.654746,2.784336,2.762107,1.277388,5.109551,0.6998251,0.3084663,0.99999927273,1.7639563636e-07,3.654746
125,20310429,1,ok,3.655147,2.778651,2.757964,1.276518,5.106074,0.7047354,0.3051752,0.99999927273,1.7629918182e-07,3.655147
126,20310430,1,ok,3.655095,2.780571,2.761948,1.277632,5.110527,0.7039535,0.3055573,0.99999927273,1.7654841818e-07,3.655095
127,20310431,1,ok,3.655047,2.785615,2.758015,1.276305,5.105221,0.7036848,0.3054407,0.99999927273,1.7598594545e-07,3.655047
128,20310432,1,ok,3.654918,2.786797,2.758857,1.277024,5.108096,0.7105657,0.304666,0.99999927273,1.7619870909e-07,3.654918
129,20310433,1,ok,3.655016,2.778083,2.757265,1.277213,5.108854,0.7084552,0.304811,0.99999927273,1.7592621818e-07,3.655016
130,20310434,1,ok,3.655059,2.783865,2.76707,1.27689,5.107558,0.7023506,0.3061348,0.99999927273,1.7561294545e-07,3.655059
131,20310435,1,ok,3.654985,2.779496,2.766657,1.276723,5.106891,0.7040813,0.3056977,0.99999927273,1.7566687273e-07,3.654985
132,20310436,1,ok,3.654923,2.783242,2.768054,1.277659,5.110637,0.7058714,0.3053148,0.99999927273,1.7695665455e-07,3.654923
133,20310437,1,ok,3.655105,2.780171,2.762502,1.276875,5.107499,0.7030268,0.3061025,0.99999927273,1.7567450909e-07,3.655105
134,20310438,1,ok,3.654999,2.776603,2.760198,1.276798,5.107192,0.7059815,0.3051844,0.99999927273,1.7553443636e-07,3.654999
135,20310439,1,ok,3.655141,2.779449,2.763165,1.27729,5.109161,0.7039204,0.3070248,0.99999927273,1.7609076364e-07,3.655141
136,20310440,1,ok,3.65497,2.791241,2.762627,1.277652,5.110608,0.7031656,0.3075034,0.99999927273,1.7602470909e-07,3.65497
137,20310441,1,ok,3.655113,2.780004,2.763068,1.276425,5.105699,0.7066268,0.3062507,0.99999927273,1.7567558182e-07,3.655113
138,20310442,1,ok,3.65504,2.779138,2.761125,1.277698,5.11079,0.7054932,0.3062931,0.99999927273,1.7658845455e-07,3.65504
139,20310443,1,ok,3.654835,2.777955,2.767278,1.277658,5.110631,0.7074809,0.3060116,0.99999927273,1.7584758182e-07,3.654835
140,20310444,1,ok,3.655263,2.784339,2.763279,1.276777,5.10711,0.7020953,0.305864,0.99999927273,1.759272e-07,3.655263
141,20310445,1,ok,3.654993,2.786319,2.761747,1.277712,5.110847,0.7042934,0.3059979,0.99999927273,1.7648010909e-07,3.654993
142,20310446,1,ok,3.654907,2.781751,2.763052,1.276847,5.107387,0.7024487,0.305513,0.99999927273,1.7606192727e-07,3.654907
143,20310447,1,ok,3.655032,2.785214,2.769407,1.276378,5.105512,0.7052643,0.304707,0.99999927273,1.7574245455e-07,3.655032
144,20310448,1,ok,3.655295,2.786142,2.765076,1.277812,5.111249,0.7077427,0.3050225,0.99999927273,1.7619103636e-07,3.655295
145,20310449,1,ok,3.655091,2.78622,2.762771,1.277185,5.108739,0.7029981,0.3054306,0.99999927273,1.7588274545e-07,3.655091
146,20310450,1,ok,3.65492,2.782565,2.763764,1.276708,5.106832,0.7010044,0.3044215,0.99999927273,1.7627081818e-07,3.65492
147,20310451,1,ok,3.655188,2.786724,2.765232,1.277158,5.108633,0.7079631,0.3048218,0.99999927273,1.7569187273e-07,3.655188
148,20310452,1,ok,3.654783,2.785001,2.761127,1.278165,5.11266,0.7028942,0.3079273,0.99999927273,1.765466e-07,3.654783
149,20310453,1,ok,3.654946,2.777978,2.764782,1.277156,5.108625,0.7060634,0.3059511,0.99999927273,1.7588452727e-07,3.654946
150,20310454,1,ok,3.655059,2.778981,2.766635,1.276154,5.104618,0.701683,0.3051434,0.99999927273,1.7596114545e-07,3.655059
151,20310455,1,ok,3.654997,2.783097,2.764837,1.276474,5.105895,0.7083375,0.3040363,0.99999927273,1.7551701818e-07,3.654997
152,20310456,1,ok,3.655426,2.780052,2.764466,1.278213,5.112851,0.7090791,0.3056732,0.99999927273,1.7629058182e-07,3.655426
153,20310457,1,ok,3.655026,2.77811,2.767831,1.276719,5.106877,0.70675,0.3034369,0.99999927273,1.76198e-07,3.655026
154,20310458,1,ok,3.654958,2.779246,2.767274,1.277092,5.108368,0.7006695,0.3066846,0.99999927273,1.7626841818e-07,3.654958
155,20310459,1,ok,3.654906,2.786505,2.768583,1.277372,5.109488,0.7090128,0.3051305,0.99999927273,1.7597798182e-07,3.654906
156,20310460,1,ok,3.654959,2.787206,2.767037,1.276749,5.106997,0.7034642,0.3060563,0.99999927273,1.7564338182e-07,3.654959
157,20310461,1,ok,3.654852,2.776641,2.764928,1.276534,5.106134,0.7017508,0.3063765,0.99999927273,1.7592394545e-07,3.654852
158,20310462,1,ok,3.655089,2.778711,2.761535,1.277309,5.109235,0.7011327,0.3065408,0.99999927273,1.7639458182e-07,3.655089
159,20310463,1,ok,3.654858,2.780549,2.767867,1.277307,5.10923,0.7044764,0.306824,0.99999927273,1.7599643636e-07,3.654858
160,20310464,1,ok,3.655157,2.781036,2.763859,1.276303,5.105211,0.7040959,0.3043928,0.99999927273,1.7569409091e-07,3.655157
161,20310465,1,ok,3.654877,2.788513,2.767516,1.277296,5.109186,0.7025835,0.3052827,0.99999927273,1.7604014545e-07,3.654877
162,20310466,1,ok,3.65487,2.779735,2.76252,1.277439,5.109755,0.7056431,0.3051268,0.99999927273,1.7605085455e-07,3.65487
163,20310467,1,ok,3.655113,2.782609,2.768116,1.276525,5.106102,0.7062568,0.3064578,0.99999927273,1.7646738182e-07,3.655113
164,20310468,1,ok,3.654967,2.7808,2.763218,1.276063,5.10425,0.7018344,0.3055358,0.99999927273,1.7591083636e-07,3.654967
165,20310469,1,ok,3.655058,2.776933,2.768183,1.276533,5.106133,0.7047978,0.3063482,0.99999927273,1.7597547273e-07,3.655058
166,20310470,1,ok,3.654864,2.784048,2.769823,1.277163,5.10865,0.7036408,0.3064287,0.99999927273,1.758704e-07,3.654864
167,20310471,1,ok,3.654864,2.782024,2.764631,1.277159,5.108636,0.7045135,0.3064044,0.99999927273,1.7609081818e-07,3.654864
168,20310472,1,ok,3.654725,2.783202,2.765106,1.275732,5.102928,0.6999268,0.3060357,0.99999927273,1.7568976364e-07,3.654725
169,20310473,1,ok,3.654705,2.779441,2.764678,1.277632,5.110528,0.7025115,0.3059419,0.99999927273,1.7615025455e-07,3.654705
170,20310474,1,ok,3.654773,2.777496,2.763411,1.2767,5.1068,0.704384,0.3057671,0.99999927273,1.7647625455e-07,3.654773
171,20310475,1,ok,3.655158,2.783043,2.766367,1.276838,5.107352,0.7066861,0.3055865,0.99999927273,1.7574507273e-07,3.655158
172,20310476,1,ok,3.655132,2.780027,2.763632,1.276932,5.107728,0.7002138,0.3051722,0.99999927273,1.7646703636e-07,3.655132
173,20310477,1,ok,3.654984,2.785122,2.761159,1.277303,5.109212,0.7054526,0.3053285,0.99999927273,1.7571923636e-07,3.654984
174,20310478,1,ok,3.655046,2.781675,2.761865,1.277489,5.109956,0.7038821,0.3054704,0.99999927273,1.7594834545e-07,3.655046
175,20310479,1,ok,3.655044,2.779757,2.759105,1.277338,5.109353,0.7062238,0.3065025,0.99999927273,1.7610754545e-07,3.655044
176,20310480,1,ok,3.654736,2.780663,2.761873,1.276879,5.107517,0.7032219,0.3058386,0.99999927273,1.7567878182e-07,3.654736
177,20310481,1,ok,3.655299,2.787582,2.765826,1.277007,5.108029,0.7074257,0.3056231,0.99999927273,1.7580529091e-07,3.655299
178,20310482,1,ok,3.654928,2.776911,2.765124,1.276454,5.105814,0.7014182,0.3053768,0.99999927273,1.7599076364e-07,3.654928
